,city_in_israel,star_rate,guests_number,bedroom_number,beds_number,baths_number,price_for_night,cleanliness_rate,communication_rate,check_in_rate,accuracy_rate,location_rate,value_rate,balcony,wifi,tv
0,"Ra'anana , Israel",4.71 ·,2,1,1,1,251,4.8,4.9,4.9,4.8,4.8,4.6,no,yes,yes
1,"Ra'anana, Center District, Israel",4.90 ·,2,1,1,1,280,4.8,5,5,4.9,5,4.8,no,yes,yes
2,"Ra'anana, Center District, Israel",,1,1,1,1,99,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
3,"Herzliya, Tel Aviv District, Israel",4.91 ·,2,1,1,1,245,4.9,4.9,5,5,4.7,4.8,yes,yes,yes
4,"Ra'anana, Center District, Israel",,3,1,2,1,129,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
5,"Ra'anana, Israel",4.66 ·,2,Studio,2,1,295,4.9,4.9,4.8,4.7,4.9,4.6,no,yes,yes
6,"Ra'anana, Center District, Israel",5.0 ·,4,3,2,2,350,4.8,5,5,5,5,5,yes,yes,yes
7,"Ra'anana, Center District, Israel",4.90 ·,6,3,3,2,685,4.8,4.8,4.7,4.9,5,4.9,no,yes,yes
8,"Ra'anana, Center District, Israel",Nan,4,1,1,1,99,Nan,Nan,Nan,Nan,Nan,Nan,no,yes,yes
9,"Ra'anana, Center District, Israel",4.83 ·,2,1,1,1,330,4.8,4.9,4.9,4.9,4.9,4.8,no,yes,yes
10,"Ra'anana, Israel",4.77 ·,2,1,1,1,340,4.8,5,5,4.8,4.8,4.7,no,yes,yes
11,"Bnei Zion, Center District, Israel",4.52 ·,2,1,2,1,200,4.7,4.8,4.9,4.7,4.7,4.6,no,yes,yes
12,"Ra'anana, Center District, Israel",4.92 ·,2,1,2,1,336,5,5,5,4.8,4.9,4.7,no,yes,yes
13,"Herzliya, Tel Aviv District, Israel",4.83 ·,4,1,2,1,348,4.8,4.9,5,4.8,4.6,4.8,no,yes,yes
14,"Ra'anana, Center District, Israel",5.0 ·,2,1,1,1.5,130,5,5,5,5,5,4.9,no,yes,yes
15,"Ra'anana, Israel",4.61 ·,3,1,2,1.5,413,4.5,4.8,4.9,4.6,4.8,4.6,no,yes,yes
