,city_in_israel,star_rate,guests_number,bedroom_number,beds_number,baths_number,price_for_night,cleanliness_rate,communication_rate,check_in_rate,accuracy_rate,location_rate,value_rate,balcony,wifi,tv
0,"Jerusalem, Jerusalem District, Israel",4.40 ·,2,Studio,1,1,131,4.6,4.9,4.8,4.7,4.8,4.6,no,yes,yes
1,"Jerusalem, Jerusalem District, Israel",4.86 ·,3,Studio,2,1,216,4.9,5.0,4.9,4.9,4.9,4.9,no,yes,yes
2,"Jerusalem, Jerusalem District, Israel",4.77 ·,8,2,4,1.5,300,4.6,4.8,4.7,4.8,4.9,4.7,no,yes,yes
3,"Jerusalem, Jerusalem District, Israel",4.71 ·,4,1,2,1,200,4.3,5.0,4.9,4.8,5.0,4.5,yes,yes,yes
4,"Jerusalem, Jerusalem District, Israel",4.72 ·,3,Studio,1,1,304,4.8,4.7,4.9,4.7,4.9,4.8,no,yes,yes
5,"Jerusalem, Jerusalem District, Israel",4.78 ·,4,1,1,1,180,4.8,4.8,5.0,4.8,5.0,4.7,no,yes,yes
6,"Jerusalem, Jerusalem District, Israel",4.87 ·,4,1,2,1,199,4.8,5.0,4.9,4.9,4.9,4.8,no,yes,yes
7,"Jerusalem, Jerusalem District, Israel",4.82 ·,2,Studio,1,1,369,4.8,4.9,5.0,4.9,4.9,4.8,no,yes,yes
8,"Jerusalem, Jerusalem District, Israel",4.74 ·,3,Studio,1,1,304,4.5,4.7,4.9,4.7,5.0,4.7,no,yes,yes
9,"Jerusalem, Jerusalem District, Israel",4.62 ·,4,1,2,1,272,4.6,5.0,4.8,4.6,5.0,4.8,no,yes,yes
10,"Jerusalem, Jerusalem District, Israel",4.73 ·,1,Studio,1,1,175,4.8,5.0,4.9,4.8,4.8,4.8,no,yes,yes
11,"Jerusalem, Jerusalem District, Israel",4.41 ·,2,1,1,1,191,4.2,4.8,4.8,4.7,4.8,4.5,no,yes,yes
12,"Jerusalem, Jerusalem District, Israel",5.0 ·,2,1,1,1,250,4.9,5.0,5.0,5.0,5.0,5.0,no,yes,yes
13,"Jerusalem, Jerusalem District, Israel",4.55 ·,3,1,2,1,160,4.7,4.8,4.9,4.8,4.8,4.5,yes,yes,yes
